id,gesture_name,Adoration,Amusement,Anger,Awe,Confusion,Contempt,Contentment,Desire,Disappointment,Disgust,Distress,Ecstasy,Elation,Embarrassment,Fear,Interest,Pain,Realization,Relief,Sadness,Surprise_negative,Surprise_positive,Sympathy,Triumph
0,contact_one_hand,0.1,0.4,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0
1,contact_two_hands,0,0.1,0,0,0,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0.1,0,0,0.1,0.1,0
2,finger_touch_short_light,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.2,0,0,0,0,0.1,0
3,finger_touch_short_strong,0,0,0.3,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.1,0.1,0,0
4,finger_touch_long_light,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.3,0,0,0,0.1,0
5,finger_touch_long_strong,0,0,0,0,0,0,0,0.05,0.2,0,0.2,0,0,0.55,0,0,0,0,0,0,0,0,0,0
6,poke_short,0,0.3,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0,0
7,poke_strong,0,0,0.3,0,0,0.1,0,0,0,0.1,0,0,0,0.2,0.1,0,0,0,0,0,0.2,0,0,0
8,pat_short,0,0.2,0,0,0.4,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0
9,pat_long,0,0,0,0,0.15,0.25,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,pinch_vertical,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.35,0.1,0,0
11,pinch_horizontal,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.6,0,0,0,0.2,0,0,0
12,tap_light,0,0.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0
13,tap_multiple,0,0,0,0,0.5,0.1,0,0.1,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
14,slap_strong,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.6,0,0,0
15,slap_mid,0,0,0.1,0,0.5,0,0,0,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
16,hit_side,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.3,0,0,0,0,0,0,0
17,hit_top,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.4,0,0,0.1,0,0,0,0
18,stroke_leftright,0.2,0,0,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
19,stroke_topdown,0,0.1,0,0,0.05,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.45,0
20,stroke_two_once,0,0,0,0.1,0,0,0,0.5,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0
21,carress_prolonged,0,0,0,0,0,0,0.2,0.5,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
22,tickle_one_fix,0.1,0.5,0,0,0,0.1,0.1,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0
23,tickle_two_fix,0,0.7,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,tickle_everywhere,0,0.6,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
25,arm_full_everywhere,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0.3,0,0
26,arms_full_everywhere,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0
27,finger_stroke_surface_slow,0,0,0,0.7,0.1,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,finger_stroke_surface_fast,0,0,0,0,0.3,0.2,0.1,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0.2,0
29,tap_tam_tam,0,0.35,0,0,0.15,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0.2,0,0,0
30,carress_prolonged_twohands,0.4,0,0,0,0,0,0,0.3,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
31,face_hug,0,0.3,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.2
